m,x,y,v_x,v_y
1.7976765567595296e+17,1258849203743.8977,52575638214.51182,56086.23487085132,6193.125434290158
2.0235026983006285e+17,321946597986.42126,289951043444.7764,8069.22979285506,18976.242162492206
4991844528682026.0,1111987414846.1208,220047649874.56573,53384.63981373378,50392.887667078445
1.9460765538806963e+17,1189402104155.9326,400941806774.6612,83866.91298002079,66652.19526137049
1.8606463455490774e+17,592585995262.7964,1094893766325.1627,30221.484681600417,92378.24757296372
3.619125434166225e+17,1178554694723.2822,193780840269.6889,34878.29043776748,59588.507460337605
7.789471685554138e+16,642295168225.1636,1272536184855.577,52752.63229714414,82009.99558025469
3.420869805050951e+17,436805674757.76636,603429914701.204,8096.074338965775,64263.02775585465
112756281863120.75,749818697874.255,84376596019.9147,67897.14538541144,77360.11446339574
2.7471880651928387e+17,783781412944.3075,1471143834637.1448,87785.12627424258,18711.2332432395
2.4508095592504538e+17,943946028594.0272,832224979197.7125,1153.9210077009088,70137.91237980172
1.2110533760157798e+16,142064992863.70322,520175512663.56335,38240.33940952924,93296.58798334039
3.9618232706723565e+17,261305147708.88004,471451341009.5372,31181.91826927992,46780.68177844391
1.8448577881284918e+17,1321535905349.9,1215019143524.7122,45545.3644951317,27969.646542033257
2.000104952141392e+17,187912274903.3146,527336155563.5536,13307.994493491082,88476.35837494193
1.935100156982763e+17,596414680579.3204,1069504880777.4453,19169.888542059998,76224.12373103232
1.5568865544309216e+17,750058291295.677,581158925495.6705,11109.609251634965,5395.222739794746
2.3015750079329552e+17,817313929677.469,283819561271.0748,37288.440047927885,71475.47035193416
3.572901506393962e+17,957363900031.5487,498986018826.3761,33359.09163903372,39565.64396340486
2.6208152320850106e+17,1231609767163.1697,55648492474.72417,45639.16408118431,80952.71829822286
7.0263469325491976e+16,1060796770730.5251,752012271586.0244,61848.90699154316,12918.464091534986
8.038136273791742e+16,463134452223.9808,556765641435.2246,95716.76270890063,17851.165971083603
3.147049573594493e+17,1240067182436.7,1028953901747.7626,67127.43135895733,66990.15561649113
2.544091879271921e+16,639012738449.2756,404553766979.9819,2360.7797514523354,35093.60291468621
89888228629338.19,445562087451.6643,365447518069.4175,26677.322825178795,54418.68450210941
1.003437903962273e+17,1114948425130.9614,257686499575.0811,88995.50291342131,97620.75847926659
3.717458219679259e+17,1377524934881.639,1237713509076.219,63719.67159571867,45809.91358360791
3.646637877846658e+17,7511896750.821656,498933192832.5155,75946.57721544558,5747.3697996447745
3.4525276296804454e+17,208227565297.84644,839653923613.9233,49560.77614845263,94559.24271707251
7.189411455695857e+16,1313048093180.2659,1130185822514.2686,73377.15902349327,59151.84410347861
1.8419112689346294e+17,647119978428.1857,320303660239.0156,73726.54796452893,82960.46597958061
3.883330963130029e+17,1026660941716.9037,846257085010.256,29212.95031528164,98725.9032178463
2.0120919420078483e+17,411041470530.3409,1027052075742.7971,17118.91551580037,71039.30650747135
1.3836110164712816e+17,973717365549.746,1200940458065.3362,85788.5020731921,92072.06669243888
3.858808523936293e+17,1101937473884.6006,625951557667.4917,19446.471585748837,5990.132478828225
2.090201366273129e+17,797451246990.1643,905237076126.4271,42128.123974888964,8911.121395655775
3.712705776276927e+17,1364774566246.4246,482327301921.1608,68877.24539820416,56824.05536781104
3.181517020726901e+17,1233899593358.168,420294857313.8659,34413.52436028154,78960.57598827843
7.12997916045284e+16,418193098450.07,329360016213.7383,99168.42431129418,95415.25841986334
2.188056086074853e+17,1240833225459.0657,1250516032752.303,3517.4922357986247,13149.244995199428
1.2575612349197573e+17,1114051689556.156,1371469377876.9373,43020.91078973621,95256.58860295617
1.1443274650143792e+17,345028146434.31195,497951333595.0093,90689.93438613482,2696.9544409761183
3.008971411002982e+17,1020790932607.1819,656918498125.3038,61280.57638023987,58395.876036710186
1.0790574560397507e+17,920420662761.6136,601349120451.8298,86876.5781365819,7525.055345471266
1.8780332295950067e+17,701176725380.1216,505237962506.4692,82163.84302410582,89949.29416235232
3.340810760542525e+17,1487045890686.7104,690855019568.4691,99480.2985573944,56638.2530381872
1.9746968707846797e+17,754252342103.3845,954598571469.0388,92592.25133579958,23074.738595942024
2.5703172053391245e+17,277871752470.948,922593827401.454,34307.53349188747,50652.32935150983
1.0306438593034869e+17,1433577381859.0488,305298345448.79395,3097.330855659963,3035.6373030076434
3.260131762111606e+17,740993128657.3134,908565082383.9814,48181.83421855596,91947.12574185143
3.311901072805004e+17,1321230418513.8445,1225950906854.4617,77026.94441217747,6532.707340866595
2.7746835775607046e+17,643381021888.0256,755280022011.7188,74206.81773200388,53548.83512480545
3.3137636067723386e+17,602537838743.1038,1305479978187.2402,75172.99540357011,50329.82054099349
2.673629824170865e+17,1382543346859.0981,907152251975.4794,20474.964345139233,7987.822713627935
3.428416785300615e+17,956540132182.102,889370498504.6698,42460.759458301756,29341.321748756065
2.2162088683309414e+17,758004026021.8716,1456425157224.9395,71794.80231958495,35285.8677561128
3.310687287838818e+17,14200772934.452326,970706904972.6694,49132.92028393233,65321.10679124294
4.2374040519723544e+16,399357379330.5614,390563725114.84503,75878.7867727345,28732.518593976143
3.7115600085465555e+17,843182723449.1073,282848009737.1243,81991.11697862051,22738.70471997811
1.5604961750721206e+17,809760008051.2216,1297217665270.276,32309.435763752306,62161.06356891604
2.291000721287346e+17,254442562707.7743,873793926004.889,99867.68107176629,60822.413816939996
1.4084791039143592e+17,322257344911.61414,484597840817.7803,97135.59545694065,9067.906256277138
1.729582330859256e+17,572313958433.2457,176532671320.80865,68194.73629178447,73507.18845561318
2.991775732981589e+17,553440064605.8906,1077687405888.8796,2896.104071913441,47907.13439907404
3.34703640314767e+17,825149491674.2726,1014811014294.9413,79099.60944709428,62605.98334555441
3.220116978927204e+17,490614801854.38556,1360427325265.3962,22094.225766839394,28080.26423302341
1.5936247455643018e+17,521439143497.8669,585396438503.232,7062.250924105373,73852.24580908498
3.579111792166748e+17,906729477628.2985,1348864005312.0366,79670.35550356397,3553.096688241153
2.402496295989529e+17,346661508580.4105,620950363184.4906,5329.299137352983,37637.78260719787
3.9510434084555904e+17,66952718556.83235,980206273607.0928,68178.57526433856,44806.45732494952
3.57335605500925e+17,127099775612.714,722180363865.0939,40392.284063051455,65816.48824290646
3.862426856282362e+17,1333943094195.588,573381742358.1387,51574.95609029866,70003.85809923089
2.2324156631266368e+17,48075572795.44547,1324325826873.8196,79386.88572340638,84641.99211704517
2.803141389195433e+17,383893327554.681,456163919412.47687,31983.40219801599,81592.25859960089
2.0029506177910525e+17,1464420232521.3806,890134186179.8615,73203.89587853555,24906.336594546432
2.6910352143152566e+17,204216938204.1498,822358270725.9667,70648.92974984372,45440.97989558059
5710724561173691.0,257045739497.77216,1197613993353.0237,91651.40749213762,82160.50734666179
2.147770015880536e+17,549395229124.14746,1110002950123.529,58397.4071696374,90961.10237195835
3.0836041029980006e+17,726181189671.9438,313106754083.0231,43236.91136674454,35330.74101736573
1.7861564873211475e+17,57300369967.75192,398461699438.9781,6301.4688369286805,34882.7194569605
9.38784011898296e+16,783617310606.3826,1401259979141.1562,51045.40010207476,68701.8712863811
5.76842045295672e+16,62154328670.28621,507716498307.09735,70774.81429256863,54497.964330790084
3.175987473718989e+17,1213656868561.191,1044368981210.9357,11864.428369146528,42298.42976090716
3.428000432183298e+17,57282488979.814926,141329291789.2706,89771.73487613827,21283.752095191787
6.593809850338448e+16,890802282521.3359,903018726458.7317,40832.64366430227,30866.540460643966
2.5436100916800877e+17,163059196187.50992,524156020460.16644,78993.49992550183,8237.584508369288
7.322442032683282e+16,102501605799.57683,858904887664.4504,79751.10963472993,30061.162832715738
3.5331998050708986e+17,1040710193453.4624,826395289777.7576,94055.65796026244,4330.615266226534
2.0113438254241816e+16,128688460386.90836,1384131014142.006,55921.262314603584,44012.972133390285
2.7570066796864656e+17,853697934481.8959,167035568710.59906,73005.91829247471,84869.5614017021
1.4975661525188806e+17,656210253802.1903,1344633570472.098,64353.80964165852,12739.305799826085
2.08616704728731e+17,359742618889.83795,183531284108.36237,78925.9726896508,67995.85401151585
2.039466408618152e+17,38354575837.99884,860545616902.6299,14182.612360756952,29325.885346523683
1.959366352347382e+17,1080995458583.9723,326164659430.1018,2117.546774563406,18368.934962782612
3.68578103273277e+17,347993129182.51404,1304312578053.4683,61951.552060906164,21517.562556937854
1.3426796483688952e+17,1370709090667.421,756412158147.7904,42935.28818073253,935.5285659328749
1.4076333086363771e+17,283054365793.49994,1195131871429.1594,63936.09163977055,94704.99458383705
